"date","Price_1BC","Price_2BO","Price_3BL","Price_4BZ","Price_5CO","Price_6CW","Price_7DANS","Price_8BOW","Price_9DPRB","Price_10GD","Price_11GS","Price_12IZ","Price_13NO","Price_14NW","Price_15OHIB","Price_16OD","Price_17ON","Price_18OO","Price_19SV","Price_20WGM","Price_21WP","Price_22ZUID"
"2022-07-15",186.757575757576,138.263157894737,148.724696356275,151.071428571429,218.890522875817,220.739837398374,152.5,174.79202988792,190.533453887884,101.590909090909,146.927710843373,187.5625,142,138.610294117647,163.878048780488,140.833333333333,198.136546184739,166.173076923077,121.811881188119,178.428571428571,174.562162162162,199.156424581006
"2022-07-16",187.030303030303,138.473684210526,150.914979757085,151.178571428571,217.790849673203,220.876887340302,153.32,175.483188044832,190.869801084991,100.295454545455,156.578313253012,188.375,142.204301075269,138.852941176471,164.117073170732,144.861111111111,198.85140562249,167.064102564103,123.039603960396,178.761904761905,175.321621621622,199.762569832402
"2022-07-17",176.666666666667,137.894736842105,144.088709677419,149.75,207.178104575163,208.065040650407,148.76,169.239103362391,182.287522603978,99.8863636363636,134.060240963855,184.5,140.602150537634,137.838235294118,160.819512195122,132.111111111111,191.390438247012,161.670926517572,116.940594059406,170.204081632653,170.363881401617,192.069832402235
"2022-07-18",175.636363636364,137.684210526316,143.75,149.589285714286,207.455882352941,207.933797909408,148.96,169.901618929016,182.569620253165,99.6363636363636,133.21686746988,184.825,140.451612903226,137.764705882353,160.809756097561,133.388888888889,192.207171314741,162.156549520767,118.227722772277,170.013605442177,170.700808625337,192.081005586592
"2022-07-19",175.636363636364,137.684210526316,143.79435483871,149.589285714286,208.331699346405,208.015098722416,148.9,169.951432129514,182.701627486438,99.6363636363636,131.168674698795,184.81875,140.451612903226,137.838235294118,160.873170731707,133.361111111111,192.525896414343,162.159744408946,118.316831683168,169.979591836735,170.425876010782,192.108938547486
"2022-07-20",175.69696969697,137.684210526316,143.879032258065,149.607142857143,208.274509803922,208.030197444832,149.76,169.950186799502,182.629294755877,99.6818181818182,131.132530120482,184.35,140.516129032258,137.852941176471,160.907317073171,133.444444444444,192.521912350598,162.239616613419,118.376237623762,170.040816326531,170.051212938005,192.217877094972
"2022-07-21",175.909090909091,137.842105263158,143.971774193548,149.660714285714,208.710784313725,208.101045296167,149.08,169.982565379826,182.875226039783,99.8863636363636,131.228915662651,184.475,140.881720430108,137.948529411765,161.117073170732,133.527777777778,192.645418326693,162.178913738019,118.475247524752,170.625850340136,170,192.670391061453
"2022-07-22",178.727272727273,138.473684210526,150.165322580645,151.142857142857,217.924836601307,219.843205574913,152.88,175.226650062266,189.153707052441,100.954545454545,146.867469879518,189.08125,141.612903225806,138.676470588235,164.00487804878,140.972222222222,199.381526104418,165.432692307692,121.940594059406,178.210884353742,175.113513513514,198.874301675978
"2022-07-23",178.969696969697,138.631578947368,150.214574898785,151.25,218.781045751634,221.757259001161,153.1,175.953922789539,189.873417721519,101.136363636364,154.397590361446,189.5625,141.806451612903,138.889705882353,164.263414634146,144.972222222222,199.831325301205,166.644230769231,123.138613861386,178.56462585034,175.791891891892,199.882681564246
"2022-07-24",176.757575757576,137.947368421053,143.862903225806,149.803571428571,207.890343698854,208.634146341463,148.02,169.734744707347,182.005424954792,101.045454545455,131.78313253012,185.0375,140.731182795699,137.882352941176,161.136585365854,132.166666666667,192.003984063745,161.846645367412,117.069306930693,170.278911564626,170.153638814016,192.958100558659
"2022-07-25",175.69696969697,137.736842105263,143.826612903226,149.642857142857,207.785597381342,207.608594657375,148.2,169.825653798257,182.341772151899,99.9090909090909,131.036144578313,184.04375,140.548387096774,137.860294117647,160.887804878049,133.416666666667,192.107569721116,162.11821086262,118.326732673267,170.061224489796,169.830188679245,193.502793296089
"2022-07-26",175.666666666667,137.736842105263,143.83064516129,149.642857142857,209.46568627451,207.149825783972,149.32,169.980074719801,182.339963833635,99.6590909090909,130.927710843373,184.64375,140.559139784946,137.911764705882,161.2,133.416666666667,192.05577689243,161.683706070288,118.405940594059,170.074829931973,169.749326145553,193.564245810056
"2022-07-27",175.727272727273,137.736842105263,143.862903225806,149.660714285714,209.374183006536,207.080139372822,149.04,170.007471980075,183.016274864376,99.7272727272727,131.373493975904,184.7625,140.612903225806,137.948529411765,161.219512195122,133.472222222222,192.09561752988,161.792332268371,118.485148514851,170.12925170068,169.857142857143,193.628491620112
"2022-07-28",175.969696969697,137.842105263158,144.625,149.714285714286,209.426470588235,207.65737514518,149.56,170.412204234122,183.041591320072,100.045454545455,131.746987951807,184.89375,140.989247311828,138.014705882353,161.419512195122,133.555555555556,189.478087649402,161.97124600639,118.544554455446,170.761904761905,170.175202156334,194.402234636871
"2022-07-29",178.818181818182,138.578947368421,151.229838709677,151.214285714286,215.903436988543,218.957026713124,152.76,175.87297633873,189.719710669078,100.227272727273,147.626506024096,189.28125,141.709677419355,139.419117647059,164.229268292683,141,196.530120481928,169.240384615385,121.980198019802,178.421768707483,175.959459459459,201.430167597765
"2022-07-30",179.060606060606,138.789473684211,149.668016194332,151.285714285714,219.464811783961,220.387921022067,153.28,176.647571606476,191.312839059675,100.704545454545,151.289156626506,189.75625,141.913978494624,139.669117647059,164.853658536585,145.027777777778,197.369477911647,170.157051282051,123.188118811881,178.741496598639,179.318918918919,202.167597765363
"2022-07-31",176.757575757576,137.947368421053,144.201612903226,149.839285714286,212.16339869281,207.709639953542,148.92,170.297633872976,183.497287522604,100,132.132530120482,184.625,140.806451612903,138.367647058824,161.512195121951,132.166666666667,192.406374501992,166.067092651757,117.089108910891,170.360544217687,174.547169811321,192.54748603352
"2022-08-01",175.69696969697,137.736842105263,144.213709677419,149.678571428571,212.307189542484,208.659698025552,149.58,170.158156911582,183.772151898734,99.8181818181818,131.048192771084,184.375,140.623655913978,137.985294117647,161.326829268293,133.055555555556,191.713147410359,167.083067092652,118.287128712871,170.068027210884,170.288409703504,192.337988826816
"2022-08-02",175.666666666667,137.736842105263,144.592741935484,149.678571428571,213,208.624854819977,149.56,170.079701120797,184.043399638336,99.7954545454545,131.036144578313,184.3625,140.623655913978,138.073529411765,161.336585365854,133.055555555556,191.645418326693,166.958466453674,118.405940594059,170.122448979592,170.269541778976,192.924581005587
"2022-08-03",175.727272727273,137.736842105263,145.379032258065,149.678571428571,212.640522875817,208.98606271777,149.58,170.201743462017,184.374321880651,99.8409090909091,131.084337349398,184.4625,140.655913978495,138.132352941176,161.380487804878,133.111111111111,191.661354581673,167.281150159744,118.465346534653,170.156462585034,170.870619946092,192.924581005587
"2022-08-04",175.969696969697,137.842105263158,146.467741935484,149.732142857143,213.941176470588,212.219512195122,149.76,171.063511830635,185.674502712477,100.045454545455,131.192771084337,184.5875,141.032258064516,138.213235294118,161.658536585366,133.166666666667,191.772908366534,167.709265175719,119.643564356436,170.755102040816,171.574123989218,193.444134078212
"2022-08-05",176.969696969697,138.684210526316,152.693548387097,151.232142857143,225.225490196078,229.96976744186,155.44,177.668742216687,193.104882459313,100.363636363636,148.072289156627,188.85,141.752688172043,138.955882352941,165.673170731707,144.472222222222,198.791164658635,173.583333333333,123.336633663366,178.285714285714,178.118918918919,200.030726256983
"2022-08-06",179.030303030303,138.842105263158,150.882591093117,151.321428571429,226.5,231.126744186047,155.38,178.349937733499,193.746835443038,100.863636363636,155.385542168675,189.175,141.924731182796,139.161764705882,165.843902439024,148.444444444444,199.534136546185,174.573717948718,124.663366336634,178.632653061224,178.772972972973,202.245810055866
"2022-08-07",176.757575757576,137.947368421053,143.895161290323,149.857142857143,215.282679738562,215.609756097561,149.44,171.525529265255,186.048824593128,100.090909090909,131.867469879518,184.35625,140.827956989247,138.110294117647,162.009756097561,131.944444444444,191.633466135458,167.725239616613,117.148514851485,170.52380952381,172.849056603774,192.796089385475
"2022-08-08",175.666666666667,137.736842105263,144.274193548387,149.678571428571,211.06045751634,207.331010452962,149.42,169.962640099626,182.839059674503,99.7727272727273,131.060240963855,184.075,140.634408602151,138.036764705882,161.682926829268,133.055555555556,191.725099601594,167.070287539936,118.445544554455,170.006802721088,170.377358490566,192.941340782123
"2022-08-09",175.666666666667,137.736842105263,144.036290322581,149.678571428571,210.849673202614,206.736353077816,149.42,169.765877957659,182.882459312839,99.7727272727273,131.156626506024,184.05625,140.623655913978,138.066176470588,161.443902439024,133.055555555556,191.741035856574,166.932907348243,118.405940594059,169.993197278912,170.242587601078,193.041899441341
"2022-08-10",175.666666666667,137.736842105263,144.612903225806,149.678571428571,210.949346405229,206.882694541231,149.42,169.854296388543,183.001808318264,99.7954545454545,131.192771084337,184.1625,140.655913978495,138.139705882353,161.053658536585,133.083333333333,191.760956175299,167.035143769968,118.445544554455,170.040816326531,170.250673854447,192.829608938547
"2022-08-11",175.939393939394,137.842105263158,144.604838709677,149.732142857143,211.158496732026,207.711962833914,150.44,170.113325031133,183.31103074141,99.9772727272727,131.385542168675,184.26875,141.021505376344,138.220588235294,161.609756097561,133.361111111111,191.800796812749,167.29392971246,118.623762376238,170.612244897959,170.838274932615,194.178770949721
"2022-08-12",178.666666666667,138.631578947368,151.092741935484,151.232142857143,218.743464052288,219.577235772358,154,175.078455790785,190.544303797468,101.5,151.493975903614,188.6375,141.688172043011,138.955882352941,164.219512195122,142.722222222222,198.963855421687,169.814102564103,121.960396039604,178.265306122449,175.981081081081,200.779329608939
